Num_of_Records,Keys,Stat
0,ETQA-215552,Open
1,ETQA-215553,Open
2,ETQA-215554,Open
3,ETQA-215555,Open
4,ETQA-215556,Open
5,ETQA-215557,Open
6,ETQA-215558,Open
7,ETQA-215559,Open
8,ETQA-215560,Open
9,ETQA-215561,Open
10,ETQA-215562,Open
11,ETQA-215563,Open
12,ETQA-215564,Open
13,ETQA-215565,Open
14,ETQA-215566,Open
15,ETQA-215567,Open
16,ETQA-215568,Open
17,ETQA-215569,Open
18,ETQA-215570,Open
19,ETQA-215571,Open
20,ETQA-215572,Open
21,ETQA-215573,Open
22,ETQA-215574,Open
23,ETQA-215575,Open
24,ETQA-215576,Open
25,ETQA-215577,Open
26,ETQA-215578,Open
